filename|phase
a939f2ca060905f79b40a8328d119b40.wav|phase1 (bad-microphone)
d1bf93299de1b68e6d382c893bf1215f.wav|phase1 (bad-microphone)
1c8529bbd9d1a4c9d65e9e2a7a9c0259.wav|phase1 (bad-microphone)
1c8529bbd9d1a4c9d65e9e2a7a9c0259.wav|phase1 (bad-microphone)
66fd1e244b230347f14d3410529d431c.wav|phase1 (bad-microphone)
e0aa021e21dddbd6d8cecec71e9cf564.wav|phase1 (bad-microphone)
e0aa021e21dddbd6d8cecec71e9cf564.wav|phase1 (bad-microphone)
ac81be7fe20080b0d24983584e2ce01c.wav|phase1 (bad-microphone)
a36ea64318aca5d4faac03ff8e5ee81c.wav|phase1 (bad-microphone)
563e705ed7d97f677aa0fd0497674642.wav|phase1 (bad-microphone)
a84416c2c38c05d906f8956ef2df0967.wav|phase1 (bad-microphone)
453812b55aeb198474ba1ad2d12d0970.wav|phase1 (bad-microphone)
8d3b5013d26165881e7e05a373816ff3.wav|phase1 (bad-microphone)
e037f7809a1f97185da40d099ba5060d.wav|phase1 (bad-microphone)
e037f7809a1f97185da40d099ba5060d.wav|phase1 (bad-microphone)
874b711144b9023c2d0ec33e58da2723.wav|phase1 (bad-microphone)
874b711144b9023c2d0ec33e58da2723.wav|phase1 (bad-microphone)
9c32ddc6a514302f3f6c675cd145399f.wav|phase1 (bad-microphone)
9c32ddc6a514302f3f6c675cd145399f.wav|phase1 (bad-microphone)
87b5000e96b79f468af68ea3fa834ad2.wav|phase1 (bad-microphone)
a5257831573bb30b2571f074ec32ec24.wav|phase1 (bad-microphone)
37d34091732415d3aaf6605a7d0cc4eb.wav|phase1 (bad-microphone)
37d34091732415d3aaf6605a7d0cc4eb.wav|phase1 (bad-microphone)
85742e25c72b1473f77d5dca25232a64.wav|phase1 (bad-microphone)
85742e25c72b1473f77d5dca25232a64.wav|phase1 (bad-microphone)
04db2fe95eb6c03e9595a02a20ba8b4f.wav|phase1 (bad-microphone)
